CAND_NAME,STATE,CONTRIBUTION_AMT,Frequency
"Warren, Elizabeth",SD,100,20
"Warren, Elizabeth",SD,200,16
"Warren, Elizabeth",SD,500,4
"Warren, Elizabeth",SD,1000,0
"Warren, Elizabeth",SD,1500,0
"Warren, Elizabeth",SD,2000,0
"Warren, Elizabeth",SD,2799,0
"Warren, Elizabeth",TN,0,25947
"Warren, Elizabeth",TN,10,4183
"Warren, Elizabeth",TN,20,10686
"Warren, Elizabeth",TN,50,1687
"Warren, Elizabeth",TN,100,156
"Warren, Elizabeth",TN,200,282
"Warren, Elizabeth",TN,500,23
"Warren, Elizabeth",TN,1000,1
"Warren, Elizabeth",TN,1500,4
"Warren, Elizabeth",TN,2000,1
"Warren, Elizabeth",TN,2799,6
"Warren, Elizabeth",TX,0,93826
"Warren, Elizabeth",TX,10,16218
"Warren, Elizabeth",TX,20,46455
"Warren, Elizabeth",TX,50,7331
"Warren, Elizabeth",TX,100,808
"Warren, Elizabeth",TX,200,1357
"Warren, Elizabeth",TX,500,119
"Warren, Elizabeth",TX,1000,16
"Warren, Elizabeth",TX,1500,14
"Warren, Elizabeth",TX,2000,15
"Warren, Elizabeth",TX,2799,24
"Warren, Elizabeth",UT,0,15304
"Warren, Elizabeth",UT,10,2422
"Warren, Elizabeth",UT,20,6667
"Warren, Elizabeth",UT,50,967
"Warren, Elizabeth",UT,100,119
"Warren, Elizabeth",UT,200,175
"Warren, Elizabeth",UT,500,17
"Warren, Elizabeth",UT,1000,1
"Warren, Elizabeth",UT,1500,1
"Warren, Elizabeth",UT,2000,1
"Warren, Elizabeth",UT,2799,1
"Warren, Elizabeth",VA,0,51323
"Warren, Elizabeth",VA,10,9542
"Warren, Elizabeth",VA,20,29338
"Warren, Elizabeth",VA,50,4915
"Warren, Elizabeth",VA,100,566
"Warren, Elizabeth",VA,200,932
"Warren, Elizabeth",VA,500,69
"Warren, Elizabeth",VA,1000,7
"Warren, Elizabeth",VA,1500,12
"Warren, Elizabeth",VA,2000,14
"Warren, Elizabeth",VA,2799,10
"Warren, Elizabeth",VT,0,10040
"Warren, Elizabeth",VT,10,1840
"Warren, Elizabeth",VT,20,6052
"Warren, Elizabeth",VT,50,970
"Warren, Elizabeth",VT,100,120
"Warren, Elizabeth",VT,200,153
"Warren, Elizabeth",VT,500,11
"Warren, Elizabeth",VT,1000,2
"Warren, Elizabeth",VT,1500,2
"Warren, Elizabeth",VT,2000,0
"Warren, Elizabeth",VT,2799,1
"Warren, Elizabeth",WA,0,98007
"Warren, Elizabeth",WA,10,19333
"Warren, Elizabeth",WA,20,64321
"Warren, Elizabeth",WA,50,11789
"Warren, Elizabeth",WA,100,1393
"Warren, Elizabeth",WA,200,2384
"Warren, Elizabeth",WA,500,230
"Warren, Elizabeth",WA,1000,26
"Warren, Elizabeth",WA,1500,25
"Warren, Elizabeth",WA,2000,39
"Warren, Elizabeth",WA,2799,42
"Warren, Elizabeth",WI,0,30367
"Warren, Elizabeth",WI,10,5248
"Warren, Elizabeth",WI,20,15551
"Warren, Elizabeth",WI,50,2284
"Warren, Elizabeth",WI,100,316
"Warren, Elizabeth",WI,200,432
"Warren, Elizabeth",WI,500,38
"Warren, Elizabeth",WI,1000,3
"Warren, Elizabeth",WI,1500,2
"Warren, Elizabeth",WI,2000,8
"Warren, Elizabeth",WI,2799,10
"Warren, Elizabeth",WV,0,4963
"Warren, Elizabeth",WV,10,649
"Warren, Elizabeth",WV,20,1984
"Warren, Elizabeth",WV,50,203
"Warren, Elizabeth",WV,100,26
"Warren, Elizabeth",WV,200,25
"Warren, Elizabeth",WV,500,4
"Warren, Elizabeth",WV,1000,1
"Warren, Elizabeth",WV,1500,0
"Warren, Elizabeth",WV,2000,0
"Warren, Elizabeth",WV,2799,0
"Warren, Elizabeth",WY,0,2025
"Warren, Elizabeth",WY,10,346
"Warren, Elizabeth",WY,20,1020
"Warren, Elizabeth",WY,50,116
"Warren, Elizabeth",WY,100,14
"Warren, Elizabeth",WY,200,18
"Warren, Elizabeth",WY,500,2
"Warren, Elizabeth",WY,1000,2
"Warren, Elizabeth",WY,1500,1
"Warren, Elizabeth",WY,2000,0
"Warren, Elizabeth",WY,2799,1
"Williamson, Marianne",AK,0,355
"Williamson, Marianne",AK,10,47
"Williamson, Marianne",AK,20,219
"Williamson, Marianne",AK,50,44
"Williamson, Marianne",AK,100,2
"Williamson, Marianne",AK,200,8
"Williamson, Marianne",AK,500,0
"Williamson, Marianne",AK,1000,0
"Williamson, Marianne",AK,1500,0
"Williamson, Marianne",AK,2000,0
"Williamson, Marianne",AK,2799,0
"Williamson, Marianne",AL,0,860
"Williamson, Marianne",AL,10,63
"Williamson, Marianne",AL,20,328
"Williamson, Marianne",AL,50,67
"Williamson, Marianne",AL,100,7
"Williamson, Marianne",AL,200,10
"Williamson, Marianne",AL,500,1
"Williamson, Marianne",AL,1000,0
"Williamson, Marianne",AL,1500,0
"Williamson, Marianne",AL,2000,0
"Williamson, Marianne",AL,2799,0
"Williamson, Marianne",AR,0,757
"Williamson, Marianne",AR,10,87
"Williamson, Marianne",AR,20,311
"Williamson, Marianne",AR,50,49
"Williamson, Marianne",AR,100,6
"Williamson, Marianne",AR,200,4
"Williamson, Marianne",AR,500,2
"Williamson, Marianne",AR,1000,1
"Williamson, Marianne",AR,1500,0
"Williamson, Marianne",AR,2000,0
"Williamson, Marianne",AR,2799,0
"Williamson, Marianne",AZ,0,4935
"Williamson, Marianne",AZ,10,550
"Williamson, Marianne",AZ,20,2035
"Williamson, Marianne",AZ,50,304
"Williamson, Marianne",AZ,100,38
"Williamson, Marianne",AZ,200,36
"Williamson, Marianne",AZ,500,8
"Williamson, Marianne",AZ,1000,1
"Williamson, Marianne",AZ,1500,2
"Williamson, Marianne",AZ,2000,3
"Williamson, Marianne",AZ,2799,3
"Williamson, Marianne",CA,0,37889
"Williamson, Marianne",CA,10,4126
"Williamson, Marianne",CA,20,19213
"Williamson, Marianne",CA,50,3360
"Williamson, Marianne",CA,100,372
"Williamson, Marianne",CA,200,672
"Williamson, Marianne",CA,500,145
"Williamson, Marianne",CA,1000,18
"Williamson, Marianne",CA,1500,14
"Williamson, Marianne",CA,2000,21
"Williamson, Marianne",CA,2799,37
"Williamson, Marianne",CO,0,6275
"Williamson, Marianne",CO,10,578
"Williamson, Marianne",CO,20,3285
"Williamson, Marianne",CO,50,540
"Williamson, Marianne",CO,100,50
"Williamson, Marianne",CO,200,49
"Williamson, Marianne",CO,500,10
"Williamson, Marianne",CO,1000,1
"Williamson, Marianne",CO,1500,0
"Williamson, Marianne",CO,2000,2
"Williamson, Marianne",CO,2799,4
"Williamson, Marianne",CT,0,2591
"Williamson, Marianne",CT,10,208
"Williamson, Marianne",CT,20,1171
"Williamson, Marianne",CT,50,232
"Williamson, Marianne",CT,100,47
"Williamson, Marianne",CT,200,70
"Williamson, Marianne",CT,500,13
"Williamson, Marianne",CT,1000,0
"Williamson, Marianne",CT,1500,1
"Williamson, Marianne",CT,2000,1
"Williamson, Marianne",CT,2799,1
"Williamson, Marianne",DC,0,1069
"Williamson, Marianne",DC,10,68
"Williamson, Marianne",DC,20,380
"Williamson, Marianne",DC,50,60
"Williamson, Marianne",DC,100,11
"Williamson, Marianne",DC,200,8
"Williamson, Marianne",DC,500,1
"Williamson, Marianne",DC,1000,0
"Williamson, Marianne",DC,1500,0
"Williamson, Marianne",DC,2000,0
"Williamson, Marianne",DC,2799,0
"Williamson, Marianne",DE,0,348
"Williamson, Marianne",DE,10,24
"Williamson, Marianne",DE,20,189
"Williamson, Marianne",DE,50,27
"Williamson, Marianne",DE,100,4
"Williamson, Marianne",DE,200,8
"Williamson, Marianne",DE,500,0
"Williamson, Marianne",DE,1000,0
"Williamson, Marianne",DE,1500,0
"Williamson, Marianne",DE,2000,0
"Williamson, Marianne",DE,2799,0
"Williamson, Marianne",FL,0,10505
"Williamson, Marianne",FL,10,953
"Williamson, Marianne",FL,20,4493
"Williamson, Marianne",FL,50,807
"Williamson, Marianne",FL,100,43
"Williamson, Marianne",FL,200,95
"Williamson, Marianne",FL,500,21
"Williamson, Marianne",FL,1000,0
"Williamson, Marianne",FL,1500,3
"Williamson, Marianne",FL,2000,0
"Williamson, Marianne",FL,2799,3
"Williamson, Marianne",GA,0,4027
"Williamson, Marianne",GA,10,382
"Williamson, Marianne",GA,20,1544
"Williamson, Marianne",GA,50,247
"Williamson, Marianne",GA,100,11
"Williamson, Marianne",GA,200,28
"Williamson, Marianne",GA,500,2
"Williamson, Marianne",GA,1000,0
"Williamson, Marianne",GA,1500,0
"Williamson, Marianne",GA,2000,0
"Williamson, Marianne",GA,2799,0
"Williamson, Marianne",HI,0,1910
"Williamson, Marianne",HI,10,226
"Williamson, Marianne",HI,20,928
"Williamson, Marianne",HI,50,121
"Williamson, Marianne",HI,100,21
"Williamson, Marianne",HI,200,20
"Williamson, Marianne",HI,500,4
"Williamson, Marianne",HI,1000,0
"Williamson, Marianne",HI,1500,1
"Williamson, Marianne",HI,2000,0
"Williamson, Marianne",HI,2799,2
"Williamson, Marianne",IA,0,1578
"Williamson, Marianne",IA,10,117
"Williamson, Marianne",IA,20,673
"Williamson, Marianne",IA,50,87
"Williamson, Marianne",IA,100,10
"Williamson, Marianne",IA,200,8
"Williamson, Marianne",IA,500,9
"Williamson, Marianne",IA,1000,2
"Williamson, Marianne",IA,1500,0
"Williamson, Marianne",IA,2000,0
"Williamson, Marianne",IA,2799,0
"Williamson, Marianne",ID,0,767
"Williamson, Marianne",ID,10,102
"Williamson, Marianne",ID,20,407
"Williamson, Marianne",ID,50,71
"Williamson, Marianne",ID,100,10
"Williamson, Marianne",ID,200,4
"Williamson, Marianne",ID,500,1
"Williamson, Marianne",ID,1000,0
"Williamson, Marianne",ID,1500,0
"Williamson, Marianne",ID,2000,0
"Williamson, Marianne",ID,2799,0
"Williamson, Marianne",IL,0,5129
"Williamson, Marianne",IL,10,476
"Williamson, Marianne",IL,20,2274
"Williamson, Marianne",IL,50,383
"Williamson, Marianne",IL,100,17
"Williamson, Marianne",IL,200,46
"Williamson, Marianne",IL,500,5
"Williamson, Marianne",IL,1000,0
"Williamson, Marianne",IL,1500,3
"Williamson, Marianne",IL,2000,2
"Williamson, Marianne",IL,2799,0
"Williamson, Marianne",IN,0,1662
"Williamson, Marianne",IN,10,165
